ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
1,Brisbane,Brisbane International,2025-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Dimitrov G.,Thompson J.,10,26,3350,1745,6,1,2,1,,,,,,,1,0,Retired,1.3,3.5,1.36,3.49,1.36,3.53,1.33,3.3,,
1,Brisbane,Brisbane International,2025-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Mpetshi G.,Mensik J.,31,48,1561,1136,7,5,7,6,,,,,,,2,0,Completed,1.73,2.1,1.88,2.03,1.88,2.18,1.78,2.02,,
1,Brisbane,Brisbane International,2025-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Opelka R.,Djokovic N.,293,7,176,3910,7,6,6,3,,,,,,,2,0,Completed,11,1.05,12.64,1.06,12.64,1.06,9.96,1.05,,
1,Brisbane,Brisbane International,2025-01-04,ATP250,Outdoor,Hard,Semifinals,3,Lehecka J.,Dimitrov G.,28,10,1660,3350,6,4,4,4,,,,,,,1,0,Retired,2.63,1.5,2.62,1.56,2.63,1.57,2.52,1.52,,
1,Brisbane,Brisbane International,2025-01-04,ATP250,Outdoor,Hard,Semifinals,3,Opelka R.,Mpetshi G.,293,31,176,1561,6,3,7,6,,,,,,,2,0,Completed,2.2,1.67,2.3,1.69,2.4,1.7,2.21,1.65,,
1,Brisbane,Brisbane International,2025-01-05,ATP250,Outdoor,Hard,The Final,3,Lehecka J.,Opelka R.,28,293,1660,176,4,1,,,,,,,,,0,0,Retired,1.67,2.2,1.72,2.25,1.8,2.25,1.69,2.16,,
2,Hong Kong,Hong Kong Tennis Open,2024-12-30,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Darderi L.,54,44,1021,1198,6,3,6,3,,,,,,,2,0,Completed,1.3,3.5,1.37,3.36,1.37,3.53,1.32,3.27,,
2,Hong Kong,Hong Kong Tennis Open,2024-12-30,ATP250,Outdoor,Hard,1st Round,3,Marozsan F.,Safiullin R.,58,60,935,923,6,1,7,6,,,,,,,2,0,Completed,2.63,1.5,2.44,1.61,2.63,1.61,2.54,1.53,,
2,Hong Kong,Hong Kong Tennis Open,2024-12-30,ATP250,Outdoor,Hard,1st Round,3,Sonego L.,Nakashima B.,53,38,1026,1335,7,6,6,3,,,,,,,2,0,Completed,2.38,1.57,2.6,1.55,2.6,1.59,2.43,1.54,,
2,Hong Kong,Hong Kong Tennis Open,2024-12-30,ATP250,Outdoor,Hard,1st Round,3,Norrie C.,Tien L.,49,122,1119,493,6,3,7,5,,,,,,,2,0,Completed,1.67,2.2,1.68,2.31,1.74,2.32,1.63,2.22,,
2,Hong Kong,Hong Kong Tennis Open,2024-12-31,ATP250,Outdoor,Hard,1st Round,3,Bergs Z.,Moro Canas A.,71,169,768,345,6,4,6,4,,,,,,,2,0,Completed,1.44,2.75,1.48,2.82,1.51,2.82,1.46,2.66,,
2,Hong Kong,Hong Kong Tennis Open,2024-12-31,ATP250,Outdoor,Hard,1st Round,3,Muller A.,Huesler M.A.,67,159,778,376,2,6,6,4,6,3,,,,,2,1,Completed,2.2,1.67,2.43,1.62,2.43,1.68,2.25,1.62,,
2,Hong Kong,Hong Kong Tennis Open,2024-12-31,ATP250,Outdoor,Hard,1st Round,3,Borges N.,Bu Y.,36,65,1355,784,3,6,6,3,7,6,,,,,2,1,Completed,2,1.8,2.2,1.74,2.2,1.82,2.07,1.73,,
2,Hong Kong,Hong Kong Tennis Open,2024-12-31,ATP250,Outdoor,Hard,1st Round,3,Munar J.,Davidovich Fokina A.,62,61,832,845,4,6,6,3,6,3,,,,,2,1,Completed,3.2,1.36,3.47,1.35,3.47,1.4,3.12,1.35,,
2,Hong Kong,Hong Kong Tennis Open,2024-12-31,ATP250,Outdoor,Hard,1st Round,3,Martinez P.,Passaro F.,43,108,1205,570,6,4,6,4,,,,,,,2,0,Completed,1.8,2,1.92,1.97,1.95,2.02,1.83,1.95,,
2,Hong Kong,Hong Kong Tennis Open,2024-12-31,ATP250,Outdoor,Hard,1st Round,3,Nishikori K.,Shapovalov D.,106,56,578,981,6,2,6,3,,,,,,,2,0,Completed,2.5,1.53,2.37,1.65,2.51,1.65,2.39,1.56,,
2,Hong Kong,Hong Kong Tennis Open,2024-12-31,ATP250,Outdoor,Hard,1st Round,3,Diallo G.,Carballes Baena R.,87,57,643,981,4,6,7,6,7,5,,,,,2,1,Completed,1.4,3,1.43,3.02,1.45,3.02,1.41,2.86,,
2,Hong Kong,Hong Kong Tennis Open,2024-12-31,ATP250,Outdoor,Hard,1st Round,3,Shang J.,Wong C.,50,170,1115,340,7,6,6,4,,,,,,,2,0,Completed,1.3,3.5,1.33,3.62,1.33,3.62,1.3,3.43,,
2,Hong Kong,Hong Kong Tennis Open,2025-01-01,ATP250,Outdoor,Hard,2nd Round,3,Muller A.,Kecmanovic M.,67,54,778,1021,5,7,7,6,7,6,,,,,2,1,Completed,3,1.4,2.84,1.49,3,1.49,2.83,1.42,,
2,Hong Kong,Hong Kong Tennis Open,2025-01-01,ATP250,Outdoor,Hard,2nd Round,3,Norrie C.,Sonego L.,49,53,1119,1026,6,2,4,6,6,1,,,,,2,1,Completed,1.57,2.38,1.72,2.26,1.72,2.42,1.6,2.32,,
2,Hong Kong,Hong Kong Tennis Open,2025-01-01,ATP250,Outdoor,Hard,2nd Round,3,Fils A.,Bergs Z.,20,71,2355,768,7,6,6,4,,,,,,,2,0,Completed,1.44,2.75,1.5,2.8,1.5,2.85,1.45,2.71,,
2,Hong Kong,Hong Kong Tennis Open,2025-01-01,ATP250,Outdoor,Hard,2nd Round,3,Nishikori K.,Khachanov K.,106,19,578,2410,4,6,6,3,7,5,,,,,2,1,Completed,2.2,1.67,2.21,1.75,2.21,1.76,2.16,1.67,,
2,Hong Kong,Hong Kong Tennis Open,2025-01-02,ATP250,Outdoor,Hard,2nd Round,3,Munar J.,Borges N.,62,36,832,1355,6,3,7,5,,,,,,,2,0,Completed,2.5,1.53,2.59,1.56,2.62,1.61,2.44,1.54,,
2,Hong Kong,Hong Kong Tennis Open,2025-01-02,ATP250,Outdoor,Hard,2nd Round,3,Musetti L.,Diallo G.,17,87,2600,643,6,4,6,3,,,,,,,2,0,Completed,1.62,2.3,1.78,2.16,1.78,2.35,1.64,2.23,,
2,Hong Kong,Hong Kong Tennis Open,2025-01-02,ATP250,Outdoor,Hard,2nd Round,3,Shang J.,Martinez P.,50,43,1115,1205,6,3,6,1,,,,,,,2,0,Completed,1.3,3.5,1.33,3.7,1.36,3.7,1.31,3.4,,
2,Hong Kong,Hong Kong Tennis Open,2025-01-02,ATP250,Outdoor,Hard,2nd Round,3,Marozsan F.,Rublev A.,58,8,935,3760,7,5,3,6,6,3,,,,,2,1,Completed,4,1.25,3.97,1.29,4.1,1.29,3.81,1.26,,
2,Hong Kong,Hong Kong Tennis Open,2025-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Muller A.,Fils A.,67,20,778,2355,3,6,6,3,6,1,,,,,2,1,Completed,4,1.25,3.61,1.34,4.01,1.34,3.61,1.28,,
2,Hong Kong,Hong Kong Tennis Open,2025-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Munar J.,Musetti L.,62,17,832,2600,2,6,7,6,7,5,,,,,2,1,Completed,3.5,1.3,3.49,1.35,3.5,1.36,3.3,1.32,,
2,Hong Kong,Hong Kong Tennis Open,2025-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Shang J.,Marozsan F.,50,58,1115,935,1,6,6,3,6,4,,,,,2,1,Completed,1.62,2.3,1.58,2.55,1.62,2.55,1.57,2.35,,
2,Hong Kong,Hong Kong Tennis Open,2025-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Norrie C.,106,49,578,1119,6,3,3,6,6,2,,,,,2,1,Completed,1.73,2.1,1.73,2.24,1.73,2.25,1.7,2.13,,
2,Hong Kong,Hong Kong Tennis Open,2025-01-04,ATP250,Outdoor,Hard,Semifinals,3,Muller A.,Munar J.,67,62,778,832,7,6,6,4,,,,,,,2,0,Completed,2,1.8,2.08,1.84,2.1,1.84,1.99,1.79,,
2,Hong Kong,Hong Kong Tennis Open,2025-01-04,ATP250,Outdoor,Hard,Semifinals,3,Nishikori K.,Shang J.,106,50,578,1115,4,3,,,,,,,,,0,0,Retired,1.8,2,1.88,2.03,1.88,2.1,1.8,1.98,,
2,Hong Kong,Hong Kong Tennis Open,2025-01-05,ATP250,Outdoor,Hard,The Final,3,Muller A.,Nishikori K.,67,106,778,578,2,6,6,1,6,3,,,,,2,1,Completed,3.5,1.3,3.64,1.33,3.64,1.36,3.36,1.32,,
3,Adelaide,Adelaide International,2025-01-06,ATP250,Outdoor,Hard,1st Round,3,Shapovalov D.,Zhang Zh.,58,47,981,1140,6,3,6,4,,,,,,,2,0,Completed,1.62,2.3,1.66,2.35,1.67,2.35,1.61,2.29,,
3,Adelaide,Adelaide International,2025-01-06,ATP250,Outdoor,Hard,1st Round,3,Davidovich Fokina A.,Bautista Agut R.,68,51,775,1067,7,5,6,2,,,,,,,2,0,Completed,1.73,2.1,1.81,2.09,1.81,2.13,1.74,2.07,,
3,Adelaide,Adelaide International,2025-01-06,ATP250,Outdoor,Hard,1st Round,3,O Connell C.,Rinderknech A.,64,60,795,927,7,5,7,6,,,,,,,2,0,Completed,1.62,2.3,1.63,2.42,1.63,2.42,1.61,2.29,,
3,Adelaide,Adelaide International,2025-01-06,ATP250,Outdoor,Hard,1st Round,3,Kokkinakis T.,Nishioka Y.,77,63,716,807,6,3,3,6,6,3,,,,,2,1,Completed,1.57,2.38,1.68,2.3,1.7,2.4,1.62,2.27,,
3,Adelaide,Adelaide International,2025-01-07,ATP250,Outdoor,Hard,1st Round,3,Tu L.,Duckworth J.,179,94,323,624,6,1,7,5,,,,,,,2,0,Completed,2.2,1.67,2.25,1.71,2.28,1.71,2.18,1.67,,
3,Adelaide,Adelaide International,2025-01-07,ATP250,Outdoor,Hard,1st Round,3,Guinard M.,Safiullin R.,261,62,209,823,7,6,2,6,6,1,,,,,2,1,Completed,5,1.17,5.02,1.21,5.1,1.21,4.77,1.18,,
3,Adelaide,Adelaide International,2025-01-07,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Vukic A.,45,67,1150,778,6,2,3,6,6,3,,,,,2,1,Completed,2,1.8,1.99,1.9,2.02,1.9,1.96,1.83,,
3,Adelaide,Adelaide International,2025-01-07,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Bublik A.,55,33,1021,1420,6,4,6,2,,,,,,,2,0,Completed,1.62,2.3,1.67,2.33,1.73,2.41,1.62,2.28,,
3,Adelaide,Adelaide International,2025-01-07,ATP250,Outdoor,Hard,1st Round,3,Cazaux A.,Walton A.,80,91,707,636,7,5,6,1,,,,,,,2,0,Completed,1.57,2.38,1.68,2.3,1.68,2.4,1.6,2.31,,
3,Adelaide,Adelaide International,2025-01-07,ATP250,Outdoor,Hard,1st Round,3,Nakashima B.,Hanfmann Y.,37,98,1335,615,6,1,2,6,6,3,,,,,2,1,Completed,1.3,3.5,1.32,3.65,1.33,3.74,1.31,3.43,,
3,Adelaide,Adelaide International,2025-01-07,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Goffin D.,79,53,712,1029,6,1,6,2,,,,,,,2,0,Completed,2.3,1.62,2.25,1.71,2.44,1.71,2.25,1.63,,
3,Adelaide,Adelaide International,2025-01-07,ATP250,Outdoor,Hard,1st Round,3,Etcheverry T.,Schoolkate T.,39,173,1315,336,7,6,6,3,,,,,,,2,0,Completed,1.3,3.5,1.38,3.26,1.38,3.5,1.32,3.35,,
3,Adelaide,Adelaide International,2025-01-08,ATP250,Outdoor,Hard,2nd Round,3,Auger-Aliassime F.,Cazaux A.,29,80,1680,707,1,6,6,4,7,5,,,,,2,1,Completed,1.44,2.75,1.52,2.72,1.54,2.78,1.48,2.61,,
3,Adelaide,Adelaide International,2025-01-08,ATP250,Outdoor,Hard,2nd Round,3,Giron M.,Shapovalov D.,45,58,1150,981,7,5,6,2,,,,,,,2,0,Completed,2.75,1.44,2.77,1.51,2.78,1.54,2.65,1.47,,
3,Adelaide,Adelaide International,2025-01-08,ATP250,Outdoor,Hard,2nd Round,3,Kecmanovic M.,O Connell C.,55,64,1021,795,7,6,6,2,,,,,,,2,0,Completed,1.91,1.91,1.89,2.02,1.91,2.02,1.84,1.94,,
3,Adelaide,Adelaide International,2025-01-08,ATP250,Outdoor,Hard,2nd Round,3,Hijikata R.,Nakashima B.,79,37,712,1335,6,2,3,6,7,6,,,,,2,1,Completed,3,1.4,3.18,1.41,3.2,1.41,2.99,1.38,,
3,Adelaide,Adelaide International,2025-01-08,ATP250,Outdoor,Hard,2nd Round,3,Bonzi B.,Tu L.,70,179,762,323,6,3,6,3,,,,,,,2,0,Completed,1.44,2.75,1.5,2.8,1.5,2.8,1.46,2.68,,
3,Adelaide,Adelaide International,2025-01-08,ATP250,Outdoor,Hard,2nd Round,3,Korda S.,Davidovich Fokina A.,22,68,1985,775,6,3,6,3,,,,,,,2,0,Completed,2.2,1.67,2.26,1.71,2.26,1.71,2.17,1.67,,
3,Adelaide,Adelaide International,2025-01-08,ATP250,Outdoor,Hard,2nd Round,3,Paul T.,Guinard M.,12,261,3145,209,6,4,3,6,6,3,,,,,2,1,Completed,1.07,9,1.08,10.77,1.09,10.77,1.07,8.42,,
3,Adelaide,Adelaide International,2025-01-08,ATP250,Outdoor,Hard,2nd Round,3,Kokkinakis T.,Etcheverry T.,77,39,716,1315,7,5,4,6,7,6,,,,,2,1,Completed,1.57,2.38,1.61,2.48,1.62,2.48,1.57,2.37,,
3,Adelaide,Adelaide International,2025-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Paul T.,Hijikata R.,12,79,3145,712,6,3,6,4,,,,,,,2,0,Completed,1.3,3.5,1.28,4.07,1.3,4.07,1.27,3.65,,
3,Adelaide,Adelaide International,2025-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Auger-Aliassime F.,Giron M.,29,45,1680,1150,7,6,6,3,,,,,,,2,0,Completed,1.62,2.3,1.66,2.37,1.66,2.37,1.61,2.27,,
3,Adelaide,Adelaide International,2025-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Kecmanovic M.,Bonzi B.,55,70,1021,762,6,2,6,3,,,,,,,2,0,Completed,1.62,2.3,1.63,2.44,1.67,2.44,1.63,2.26,,
3,Adelaide,Adelaide International,2025-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Korda S.,Kokkinakis T.,22,77,1985,716,,,,,,,,,,,,,Walkover,1.67,2.2,1.67,2.35,1.69,2.35,1.65,2.22,,
3,Adelaide,Adelaide International,2025-01-10,ATP250,Outdoor,Hard,Semifinals,3,Auger-Aliassime F.,Paul T.,29,12,1680,3145,7,6,3,6,6,4,,,,,2,1,Completed,2.2,1.67,2.27,1.71,2.3,1.71,2.2,1.66,,
3,Adelaide,Adelaide International,2025-01-10,ATP250,Outdoor,Hard,Semifinals,3,Korda S.,Kecmanovic M.,22,55,1985,1021,6,3,7,6,,,,,,,2,0,Completed,1.8,2,1.8,2.13,1.83,2.13,1.8,1.99,,
3,Adelaide,Adelaide International,2025-01-11,ATP250,Outdoor,Hard,The Final,3,Auger-Aliassime F.,Korda S.,29,22,1680,1985,6,3,3,6,6,1,,,,,2,1,Completed,2.1,1.73,2.19,1.76,2.19,1.76,2.1,1.72,,
4,Auckland,ASB Classic,2025-01-05,ATP250,Outdoor,Hard,1st Round,3,Borges N.,Darderi L.,36,44,1370,1198,5,7,6,3,7,5,,,,,2,1,Completed,1.36,3.2,1.4,3.15,1.47,3.2,1.39,2.96,,
4,Auckland,ASB Classic,2025-01-06,ATP250,Outdoor,Hard,1st Round,3,Carballes Baena R.,Altmaier D.,59,93,981,625,6,3,3,6,7,5,,,,,2,1,Completed,1.3,3.5,,,1.31,3.6,1.29,3.44,,
4,Auckland,ASB Classic,2025-01-06,ATP250,Outdoor,Hard,1st Round,3,Bergs Z.,Becroft I.,66,980,783,15,6,3,7,5,,,,,,,2,0,Completed,1.03,17,1.03,23.4,1.03,23.4,1.02,15.63,,
4,Auckland,ASB Classic,2025-01-06,ATP250,Outdoor,Hard,1st Round,3,Michelsen A.,Nagal S.,41,96,1245,622,6,7,6,4,6,2,,,,,2,1,Completed,1.17,5,1.24,4.53,1.24,5.17,1.18,4.7,,
4,Auckland,ASB Classic,2025-01-06,ATP250,Outdoor,Hard,1st Round,3,Navone M.,Mannarino A.,46,73,1148,744,7,6,6,7,6,1,,,,,2,1,Completed,2.63,1.5,2.5,1.59,2.72,1.59,2.53,1.51,,
4,Auckland,ASB Classic,2025-01-06,ATP250,Outdoor,Hard,1st Round,3,Nardi L.,Cobolli F.,90,32,637,1512,6,2,1,1,,,,,,,1,0,Retired,2.75,1.44,2.71,1.52,2.81,1.53,2.65,1.47,,
4,Auckland,ASB Classic,2025-01-06,ATP250,Outdoor,Hard,1st Round,3,Sonego L.,Diallo G.,54,87,1026,646,7,6,2,6,7,6,,,,,2,1,Completed,2,1.8,1.98,1.91,2.01,1.91,1.93,1.85,,
4,Auckland,ASB Classic,2025-01-06,ATP250,Outdoor,Hard,1st Round,3,Diaz Acosta F.,Norrie C.,78,48,714,1124,6,2,6,3,,,,,,,2,0,Completed,4.5,1.2,4.29,1.26,5.36,1.26,4.4,1.2,,
4,Auckland,ASB Classic,2025-01-07,ATP250,Outdoor,Hard,1st Round,3,Monfils G.,Martinez P.,52,43,1030,1220,1,6,7,6,6,3,,,,,2,1,Completed,1.25,4,1.28,3.99,1.29,4.01,1.27,3.72,,
4,Auckland,ASB Classic,2025-01-07,ATP250,Outdoor,Hard,1st Round,3,Struff J.L.,Bu Y.,42,65,1225,784,6,3,6,4,,,,,,,2,0,Completed,1.8,2,1.71,2.25,1.8,2.25,1.71,2.11,,
4,Auckland,ASB Classic,2025-01-07,ATP250,Outdoor,Hard,1st Round,3,Basavareddy N.,Comesana F.,133,85,453,661,6,2,6,2,,,,,,,2,0,Completed,1.22,4.33,1.28,4.03,1.28,4.36,1.22,4.12,,
4,Auckland,ASB Classic,2025-01-07,ATP250,Outdoor,Hard,1st Round,3,Mensik J.,Carreno Busta P.,49,184,1122,317,6,0,4,6,7,5,,,,,2,1,Completed,1.25,4,,,1.33,4.01,1.25,3.73,,
4,Auckland,ASB Classic,2025-01-07,ATP250,Outdoor,Hard,2nd Round,3,Basavareddy N.,Tabilo A.,133,23,453,1943,6,4,5,7,6,4,,,,,2,1,Completed,1.8,2,1.82,2.11,1.91,2.11,1.81,1.97,,
4,Auckland,ASB Classic,2025-01-07,ATP250,Outdoor,Hard,2nd Round,3,Bergs Z.,Nardi L.,66,90,783,637,6,1,6,4,,,,,,,2,0,Completed,1.62,2.3,1.65,2.4,1.72,2.42,1.63,2.24,,
4,Auckland,ASB Classic,2025-01-08,ATP250,Outdoor,Hard,2nd Round,3,Michelsen A.,Sonego L.,41,54,1245,1026,7,6,6,2,,,,,,,2,0,Completed,1.57,2.38,1.59,2.53,1.6,2.54,1.56,2.4,,
4,Auckland,ASB Classic,2025-01-08,ATP250,Outdoor,Hard,2nd Round,3,Diaz Acosta F.,Baez S.,78,28,714,1690,6,4,7,6,,,,,,,2,0,Completed,1.8,2,1.84,2.08,1.84,2.08,1.78,2.01,,
4,Auckland,ASB Classic,2025-01-08,ATP250,Outdoor,Hard,2nd Round,3,Carballes Baena R.,Cerundolo F.,59,31,981,1620,6,2,7,5,,,,,,,2,0,Completed,2.63,1.5,2.68,1.54,2.68,1.54,2.57,1.5,,
4,Auckland,ASB Classic,2025-01-08,ATP250,Outdoor,Hard,2nd Round,3,Monfils G.,Struff J.L.,52,42,1030,1225,6,1,7,6,,,,,,,2,0,Completed,2.2,1.67,2.21,1.75,2.21,1.75,2.11,1.71,,
4,Auckland,ASB Classic,2025-01-08,ATP250,Outdoor,Hard,2nd Round,3,Borges N.,Navone M.,36,46,1370,1148,4,6,7,5,6,4,,,,,2,1,Completed,1.4,3,1.47,2.89,1.41,2.95,1.41,2.95,,
4,Auckland,ASB Classic,2025-01-08,ATP250,Outdoor,Hard,2nd Round,3,Mensik J.,Shelton B.,49,21,1122,2330,7,6,4,6,7,5,,,,,2,1,Completed,2.1,1.73,2.22,1.75,2.22,1.75,2.14,1.7,,
4,Auckland,ASB Classic,2025-01-08,ATP250,Outdoor,Hard,Quarterfinals,3,Basavareddy N.,Michelsen A.,133,41,453,1245,2,6,6,2,6,4,,,,,2,1,Completed,2.5,1.53,2.63,1.55,2.63,1.7,2.41,1.55,,
4,Auckland,ASB Classic,2025-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Monfils G.,Diaz Acosta F.,52,78,1030,714,6,3,6,1,,,,,,,2,0,Completed,1.3,3.5,1.35,3.54,1.35,3.63,1.31,3.4,,
4,Auckland,ASB Classic,2025-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Bergs Z.,Carballes Baena R.,66,59,783,981,1,6,6,2,6,3,,,,,2,1,Completed,1.62,2.3,1.66,2.37,1.66,2.5,1.6,2.31,,
